"Order Number","Order Status","Order Date","Customer Note","First Name (Billing)","Last Name (Billing)","Company (Billing)","Address 1&2 (Billing)","City (Billing)","State Code (Billing)","Postcode (Billing)","Country Code (Billing)","Email (Billing)","Phone (Billing)","First Name (Shipping)","Last Name (Shipping)","Address 1&2 (Shipping)","City (Shipping)","State Code (Shipping)","Postcode (Shipping)","Country Code (Shipping)","Payment Method Title","Cart Discount Amount","Cart Discount Amount(inc. tax)","Order Subtotal Amount","Shipping Method Title","Order Shipping Amount","Order Refund Amount","Order Total Amount","Order Total Tax Amount","Product Id","Cost of goods","Category","SKU","Item #","Item Name","Quantity (- Refund)","Item Cost","Coupon Code","Discount Amount","Discount Amount Tax"
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","95","0","Uncategorized,Horeca","","11","CHICKEN BURGER  ( 18x70 GR )","2","5.8","","",""
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","171","0","Uncategorized,Supermarket","5902082454632","12","CRISPY PANKO SHRIMPS (0.4kg)","1","6.8","","",""
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","160","0","Uncategorized,Supermarket","5902082427919","13","CHICKEN KIPCORN (0.8kg)","2","7.12","","",""
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","185","0","Uncategorized,Supermarket","5902082428305","14","ADANA KEBAB (12*50 GR)","10","6.54","","",""
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","187","0","Uncategorized,Supermarket","5902082411628","15","AKCABAAT KOFTE  (18*45GR)","4","7","","",""
"217","Completed","2024-03-08 11:13","","","","Orange Food Group B.V.","Doctor Wiardi Beckmansingel 13","Vlaardingen","","3132CL","NL","ssrzkn@gmail.com","","","","","","","","","","0","0","966.08","","0","325.56","1053.07","86.99","166","0","Uncategorized,Supermarket","5902082461876","16","CHILLI-CHEESE NUGGETS  (0.6kg)","12","0","","",""
"221","Completed","2024-03-11 09:06","","","","Drean Kebab 1","Herenstraat 88A","Voorhout","","2215KK","","dream@kebab.nl","","","","","","","","","","0","0","124","","0","0","135.16","11.16","218","0","Uncategorized,Horeca","","1","Excellence Patat","8","15.5","","",""
"222","Completed","2024-03-11 09:10","","Dream Kebab","Katwijk","","Taatedam 2","Katwijk aan zee","","2225 BN","","Dreamkebab@katwijk.nl","","","","","","","","","","0","0","231.6","","0","0","252.44","20.84","218","0","Uncategorized,Horeca","","1","Excellence Patat","8","15.5","","",""
"222","Completed","2024-03-11 09:10","","Dream Kebab","Katwijk","","Taatedam 2","Katwijk aan zee","","2225 BN","","Dreamkebab@katwijk.nl","","","","","","","","","","0","0","231.6","","0","0","252.44","20.84","107","0","Uncategorized,Horeca","","2","CHICKEN SCHNITZEL","8","8.25","","",""
"222","Completed","2024-03-11 09:10","","Dream Kebab","Katwijk","","Taatedam 2","Katwijk aan zee","","2225 BN","","Dreamkebab@katwijk.nl","","","","","","","","","","0","0","231.6","","0","0","252.44","20.84","127","0","Uncategorized,Horeca","","3","CHICKEN WINGS CLASSIC","8","5.2","","",""
"223","Completed","2024-03-11 09:32","","Dream Kebab","Noordwijkerhout","","Zeestraat 4","Noordwijkerhout","","2211XG","","dreamkebab@noordwijkerhour.nl","","","","","","","","","","0","0","274","","0","0","298.66","24.66","218","0","Uncategorized,Horeca","","1","Excellence Patat","8","15.5","","",""
"223","Completed","2024-03-11 09:32","","Dream Kebab","Noordwijkerhout","","Zeestraat 4","Noordwijkerhout","","2211XG","","dreamkebab@noordwijkerhour.nl","","","","","","","","","","0","0","274","","0","0","298.66","24.66","111","0","Uncategorized,Horeca","","2","CRISPY TENDERS  CLASSIC","8","7.75","","",""
"223","Completed","2024-03-11 09:32","","Dream Kebab","Noordwijkerhout","","Zeestraat 4","Noordwijkerhout","","2211XG","","dreamkebab@noordwijkerhour.nl","","","","","","","","","","0","0","274","","0","0","298.66","24.66","104","0","Uncategorized,Horeca","","3","CHICKEN NUGGETS CLASSIC TEMPURA","4","5.5","","",""
"223","Completed","2024-03-11 09:32","","Dream Kebab","Noordwijkerhout","","Zeestraat 4","Noordwijkerhout","","2211XG","","dreamkebab@noordwijkerhour.nl","","","","","","","","","","0","0","274","","0","0","298.66","24.66","107","0","Uncategorized,Horeca","","4","CHICKEN SCHNITZEL","8","8.25","","",""
"225","Completed","2024-03-11 09:43","","Sohbet bbq","cafe Restaurant","","Calandkade 168","Den Haag","","2521AA","","Sohbet@denhaag.nl","","","","","","","","","","0","0","108.5","","0","0","118.27","9.77","218","0","Uncategorized,Horeca","","1","Excellence Patat","7","15.5","","",""
"227","Completed","2024-03-11 10:25","","Bakkerij","Hesse Place","","Hesseplaats 71","Rotterdam","","3069EA","","info@bakkerijhesseplace.nl","","","","","","","","","","0","0","300","","0","0","327.00","27","218","0","Uncategorized,Horeca","","1","Excellence Patat","20","15","","",""
"229","Completed","2024-03-12 09:35","","Ak-AL","Eethuis","","HerenHof 287","Alpen aan den Rijn","","2402DL","","akal-eethuis-alpenaanderijn@hotmail.com","","","","","","","","","","0","0","1083.86","","0","0","1181.41","97.55","124","0","Uncategorized,Horeca","","1","Mix - SHAWARMA (%20 Lam-%80 kalkoen) (€6,50)","40","16.25","","",""
"229","Completed","2024-03-12 09:35","","Ak-AL","Eethuis","","HerenHof 287","Alpen aan den Rijn","","2402DL","","akal-eethuis-alpenaanderijn@hotmail.com","","","","","","","","","","0","0","1083.86","","0","0","1181.41","97.55","119","0","Uncategorized,Horeca","5902082461319","2","Kipfile geseneden PAPRICA (€5,75)","12","14.38","","",""
"229","Completed","2024-03-12 09:35","","Ak-AL","Eethuis","","HerenHof 287","Alpen aan den Rijn","","2402DL","","akal-eethuis-alpenaanderijn@hotmail.com","","","","","","","","","","0","0","1083.86","","0","0","1181.41","97.55","95","0","Uncategorized,Horeca","","3","CHICKEN BURGER  ( 18x70 GR )","1","5.8","","",""
"229","Completed","2024-03-12 09:35","","Ak-AL","Eethuis","","HerenHof 287","Alpen aan den Rijn","","2402DL","","akal-eethuis-alpenaanderijn@hotmail.com","","","","","","","","","","0","0","1083.86","","0","0","1181.41","97.55","198","0","Uncategorized,Horeca","","4","AKCABAAT KOFTE (45*45gr)","2","15.95","","",""
"229","Completed","2024-03-12 09:35","","Ak-AL","Eethuis","","HerenHof 287","Alpen aan den Rijn","","2402DL","","akal-eethuis-alpenaanderijn@hotmail.com","","","","","","","","","","0","0","1083.86","","0","0","1181.41","97.55","127","0","Uncategorized,Horeca","","5","CHICKEN WINGS CLASSIC","16","5.2","","",""
"229","Completed","2024-03-12 09:35","","Ak-AL","Eethuis","","HerenHof 287","Alpen aan den Rijn","","2402DL","","akal-eethuis-alpenaanderijn@hotmail.com","","","","","","","","","","0","0","1083.86","","0","0","1181.41","97.55","102","0","Uncategorized,Horeca","","6","CHICKEN WINGS BARBECUE","16","6","","",""
"229","Completed","2024-03-12 09:35","","Ak-AL","Eethuis","","HerenHof 287","Alpen aan den Rijn","","2402DL","","akal-eethuis-alpenaanderijn@hotmail.com","","","","","","","","","","0","0","1083.86","","0","0","1181.41","97.55","104","0","Uncategorized,Horeca","","7","CHICKEN NUGGETS CLASSIC TEMPURA","4","5.5","","",""
"229","Completed","2024-03-12 09:35","","Ak-AL","Eethuis","","HerenHof 287","Alpen aan den Rijn","","2402DL","","akal-eethuis-alpenaanderijn@hotmail.com","","","","","","","","","","0","0","1083.86","","0","0","1181.41","97.55","116","0","Uncategorized,Horeca","","8","FALAFEL","4","5.6","","",""
"230","Completed","2024-03-12 09:48","","Salama","Doner Pizza","","Stevensbloem 7","Leiden","","2331JA","","Salama@gmail.com","","","","","","","","","","0","0","151.5","","0","0","165.14","13.64","218","0","Uncategorized,Horeca","","1","Excellence Patat","8","15.5","","",""
"230","Completed","2024-03-12 09:48","","Salama","Doner Pizza","","Stevensbloem 7","Leiden","","2331JA","","Salama@gmail.com","","","","","","","","","","0","0","151.5","","0","0","165.14","13.64","120","0","Uncategorized,Horeca","5902082461364","2","Kipfile geseneden NATURAL (€5,50)","2","13.75","","",""
"232","Refunded","2024-03-12 09:53","","Ons Bakkertje","de veen","","Noordeinde 13","Roelofarendsveen","","2371CM","","Ons@gmail.com","","","","","","","","","","0","0","130","","0","141.7","141.70","11.7","124","0","Uncategorized,Horeca","","1","Mix - SHAWARMA (%20 Lam-%80 kalkoen) (€6,50)","0","16.25","","",""
"233","Completed","2024-03-12 10:53","","Pizzeria","Roomburg","","IJsselkade 43","Leiden","","2314VM","","PizzeriaRoomburg@gmail.com","","","","","","","","","","0","0","120","","0","0","130.80","10.8","124","0","Uncategorized,Horeca","","1","Mix - SHAWARMA (%20 Lam-%80 kalkoen) (€6,50)","4","16.25","","",""
"233","Completed","2024-03-12 10:53","","Pizzeria","Roomburg","","IJsselkade 43","Leiden","","2314VM","","PizzeriaRoomburg@gmail.com","","","","","","","","","","0","0","120","","0","0","130.80","10.8","120","0","Uncategorized,Horeca","5902082461364","2","Kipfile geseneden NATURAL (€5,50)","4","13.75","","",""
"233","Completed","2024-03-12 10:53","","Pizzeria","Roomburg","","IJsselkade 43","Leiden","","2314VM","","PizzeriaRoomburg@gmail.com","","","","","","","","","","0","0","120","","0","0","130.80","10.8","121","0","Uncategorized,Horeca","5902082460350","3","SLICED AND ROASTED PREMIUM CHICKEN KEBAB (€7,50)","1","0","","",""
"234","Completed","2024-03-12 13:57","","Pizza","Bella Maria","","Van Zeggelenlaan 81","Den Haag","","2524 AC","","Pizzabellamaria@gmail.com","","","","","","","","","","0","0","155","","0","0","168.95","13.95","218","0","Uncategorized,Horeca","","1","Excellence Patat","10","15.5","","",""
"236","Completed","2024-03-12 14:07","","Ak-Mir","Doner","","Korevaarstraat 4","Leiden","","2311 JS","","akmirdoner@gmail.com","","","","","","","","","","0","0","249.6","","0","0","272.07","22.47","124","0","Uncategorized,Horeca","","1","Mix - SHAWARMA (%20 Lam-%80 kalkoen) (€6,50)","1","16.25","","",""
"236","Completed","2024-03-12 14:07","","Ak-Mir","Doner","","Korevaarstraat 4","Leiden","","2311 JS","","akmirdoner@gmail.com","","","","","","","","","","0","0","249.6","","0","0","272.07","22.47","218","0","Uncategorized,Horeca","","2","Excellence Patat","1","15.5","","",""
"236","Completed","2024-03-12 14:07","","Ak-Mir","Doner","","Korevaarstraat 4","Leiden","","2311 JS","","akmirdoner@gmail.com","","","","","","","","","","0","0","249.6","","0","0","272.07","22.47","104","0","Uncategorized,Horeca","","3","CHICKEN NUGGETS CLASSIC TEMPURA","8","5.5","","",""
"236","Completed","2024-03-12 14:07","","Ak-Mir","Doner","","Korevaarstraat 4","Leiden","","2311 JS","","akmirdoner@gmail.com","","","","","","","","","","0","0","249.6","","0","0","272.07","22.47","100","0","Uncategorized,Horeca","","4","Chicken CRISPY WINGS","8","5.75","","",""
"236","Completed","2024-03-12 14:07","","Ak-Mir","Doner","","Korevaarstraat 4","Leiden","","2311 JS","","akmirdoner@gmail.com","","","","","","","","","","0","0","249.6","","0","0","272.07","22.47","127","0","Uncategorized,Horeca","","5","CHICKEN WINGS CLASSIC","8","5.2","","",""
"236","Completed","2024-03-12 14:07","","Ak-Mir","Doner","","Korevaarstraat 4","Leiden","","2311 JS","","akmirdoner@gmail.com","","","","","","","","","","0","0","249.6","","0","0","272.07","22.47","109","0","Uncategorized,Horeca","","6","CHICKEN TENDERS CLASSIC (FORMED)","1","7.5","","",""
"236","Completed","2024-03-12 14:07","","Ak-Mir","Doner","","Korevaarstraat 4","Leiden","","2311 JS","","akmirdoner@gmail.com","","","","","","","","","","0","0","249.6","","0","0","272.07","22.47","103","0","Uncategorized,Horeca","","7","CRISPY BURGER","1","8.5","","",""
"236","Completed","2024-03-12 14:07","","Ak-Mir","Doner","","Korevaarstraat 4","Leiden","","2311 JS","","akmirdoner@gmail.com","","","","","","","","","","0","0","249.6","","0","0","272.07","22.47","107","0","Uncategorized,Horeca","","8","CHICKEN SCHNITZEL","1","8.25","","",""
"236","Completed","2024-03-12 14:07","","Ak-Mir","Doner","","Korevaarstraat 4","Leiden","","2311 JS","","akmirdoner@gmail.com","","","","","","","","","","0","0","249.6","","0","0","272.07","22.47","111","0","Uncategorized,Horeca","","9","CRISPY TENDERS  CLASSIC","8","7.75","","",""
"238","Completed","2024-03-13 09:27","","Bakkerij","de Hazelaar","","Hazelaarstraat 10","Woerden","","3442 EN","","BakkerijdeHazelaar@gmail.com","","","","","","","","","","0","0","465","","0","0","506.85","41.85","218","0","Uncategorized,Horeca","","1","Excellence Patat","30","15.5","","",""
"240","Completed","2024-03-13 15:03","","Hoornes","Supermarkt en Bakkerij","","Hoorneslaan 329","Katwijk aan Zee","","2221 GA","","HoornesSupermarktenBakkerij@gmail.com","","","","","","","","","","0","0","62","","0","0","67.58","5.58","218","0","Uncategorized,Horeca","","1","Excellence Patat","4","15.5","","",""
"244","Paid By Bank-","2024-03-13 16:13","","Massada","Roelofarendsveen","","Noordplein 3","Roelofarendsveen","","2371 DA","","MassadaRoelofarendsveen@gmail.com","","","","","","","","","","0","0","176.6","","0","0","192.49","15.89","218","0","Uncategorized,Horeca","","1","Excellence Patat","4","15.5","","",""
"244","Paid By Bank-","2024-03-13 16:13","","Massada","Roelofarendsveen","","Noordplein 3","Roelofarendsveen","","2371 DA","","MassadaRoelofarendsveen@gmail.com","","","","","","","","","","0","0","176.6","","0","0","192.49","15.89","124","0","Uncategorized,Horeca","","2","Mix - SHAWARMA (%20 Lam-%80 kalkoen) (€6,50)","4","16.25","","",""
"244","Paid By Bank-","2024-03-13 16:13","","Massada","Roelofarendsveen","","Noordplein 3","Roelofarendsveen","","2371 DA","","MassadaRoelofarendsveen@gmail.com","","","","","","","","","","0","0","176.6","","0","0","192.49","15.89","105","0","Uncategorized,Horeca","","3","CHICKEN KIPCORN","8","6.2","","",""
"245","Completed","2024-03-14 09:23","","Indoor","SpeelParadijs ZuiderPark","","Mr. P. Droogleever Fortuynweg 79","Den Haag","","2533SP","","INDOORSPEELPARADIJSZUIDERPARK@gmail.com","","","","","","","","","","0","0","419","","0","0","456.71","37.71","218","0","Uncategorized,Horeca","","1","Excellence Patat","10","15.5","","",""
"245","Completed","2024-03-14 09:23","","Indoor","SpeelParadijs ZuiderPark","","Mr. P. Droogleever Fortuynweg 79","Den Haag","","2533SP","","INDOORSPEELPARADIJSZUIDERPARK@gmail.com","","","","","","","","","","0","0","419","","0","0","456.71","37.71","104","0","Uncategorized,Horeca","","2","CHICKEN NUGGETS CLASSIC TEMPURA","48","5.5","","",""
"246","Completed","2024-03-14 09:42","","De Gouden","Wok Zuiderpark","","Meester P. Droogleever Fortuynweg 69","Den Haag","","2533 SP","","DeGoudenWokZuiderpark@gmail.com","","","","","","","","","","0","0","348.4","","0","0","379.76","31.36","117","0","Uncategorized,Horeca","","1","ONION RINGS","8","4.3","","",""
"246","Completed","2024-03-14 09:42","","De Gouden","Wok Zuiderpark","","Meester P. Droogleever Fortuynweg 69","Den Haag","","2533 SP","","DeGoudenWokZuiderpark@gmail.com","","","","","","","","","","0","0","348.4","","0","0","379.76","31.36","171","0","Uncategorized,Supermarket","5902082454632","2","CRISPY PANKO SHRIMPS (0.4kg)","18","7","","",""
"246","Completed","2024-03-14 09:42","","De Gouden","Wok Zuiderpark","","Meester P. Droogleever Fortuynweg 69","Den Haag","","2533 SP","","DeGoudenWokZuiderpark@gmail.com","","","","","","","","","","0","0","348.4","","0","0","379.76","31.36","111","0","Uncategorized,Horeca","","3","CRISPY TENDERS  CLASSIC","8","7.75","","",""
"246","Completed","2024-03-14 09:42","","De Gouden","Wok Zuiderpark","","Meester P. Droogleever Fortuynweg 69","Den Haag","","2533 SP","","DeGoudenWokZuiderpark@gmail.com","","","","","","","","","","0","0","348.4","","0","0","379.76","31.36","104","0","Uncategorized,Horeca","","4","CHICKEN NUGGETS CLASSIC TEMPURA","8","5.5","","",""
"246","Completed","2024-03-14 09:42","","De Gouden","Wok Zuiderpark","","Meester P. Droogleever Fortuynweg 69","Den Haag","","2533 SP","","DeGoudenWokZuiderpark@gmail.com","","","","","","","","","","0","0","348.4","","0","0","379.76","31.36","209","0","Uncategorized","5902082461517","5","Pizza Meat 1kg","10","8.2","","",""
"246","Completed","2024-03-14 09:42","","De Gouden","Wok Zuiderpark","","Meester P. Droogleever Fortuynweg 69","Den Haag","","2533 SP","","DeGoudenWokZuiderpark@gmail.com","","","","","","","","","","0","0","348.4","","0","0","379.76","31.36","247","0","Uncategorized","5902082462316","6","Sliced and Roasted Sucuk Kebab","10","0","","",""
"251","Completed","2024-03-13 18:00","","Pizzeria & Grillroom Hawaii Naaldwijk","","","Pr. Julianastraat 22","Naaldwijk","","2671EK","","PizzeriaGrillroomHawaiiNaaldwijk@gmail.com","","","","","","","","","","0","0","203.47","","0","0","221.79","18.32","124","0","Uncategorized,Horeca","","1","Mix - SHAWARMA (%20 Lam-%80 kalkoen) (€6,50)","8","16.25","","",""
"251","Completed","2024-03-13 18:00","","Pizzeria & Grillroom Hawaii Naaldwijk","","","Pr. Julianastraat 22","Naaldwijk","","2671EK","","PizzeriaGrillroomHawaiiNaaldwijk@gmail.com","","","","","","","","","","0","0","203.47","","0","0","221.79","18.32","119","0","Uncategorized,Horeca","5902082461319","2","Kipfile geseneden PAPRICA (€5,75)","4","14.38","","",""
"251","Completed","2024-03-13 18:00","","Pizzeria & Grillroom Hawaii Naaldwijk","","","Pr. Julianastraat 22","Naaldwijk","","2671EK","","PizzeriaGrillroomHawaiiNaaldwijk@gmail.com","","","","","","","","","","0","0","203.47","","0","0","221.79","18.32","198","0","Uncategorized,Horeca","","3","AKCABAAT KOFTE (45*45gr)","1","15.95","","",""
"252","Completed","2024-03-13 18:04","","De Rotonde Kebab","","","Slotermeerlaan 3","Amsterdam","","1064GX","","DeRotondeKebab@gmail.com","","","","","","","","","","0","0","495.25","","0","0","539.83","44.58","104","0","Uncategorized,Horeca","","1","CHICKEN NUGGETS CLASSIC TEMPURA","8","5.5","","",""
"252","Completed","2024-03-13 18:04","","De Rotonde Kebab","","","Slotermeerlaan 3","Amsterdam","","1064GX","","DeRotondeKebab@gmail.com","","","","","","","","","","0","0","495.25","","0","0","539.83","44.58","111","0","Uncategorized,Horeca","","2","CRISPY TENDERS  CLASSIC","1","7.75","","",""
"252","Completed","2024-03-13 18:04","","De Rotonde Kebab","","","Slotermeerlaan 3","Amsterdam","","1064GX","","DeRotondeKebab@gmail.com","","","","","","","","","","0","0","495.25","","0","0","539.83","44.58","127","0","Uncategorized,Horeca","","3","CHICKEN WINGS CLASSIC","8","5.2","","",""
"252","Completed","2024-03-13 18:04","","De Rotonde Kebab","","","Slotermeerlaan 3","Amsterdam","","1064GX","","DeRotondeKebab@gmail.com","","","","","","","","","","0","0","495.25","","0","0","539.83","44.58","116","0","Uncategorized,Horeca","","4","FALAFEL","8","5.6","","",""
"252","Completed","2024-03-13 18:04","","De Rotonde Kebab","","","Slotermeerlaan 3","Amsterdam","","1064GX","","DeRotondeKebab@gmail.com","","","","","","","","","","0","0","495.25","","0","0","539.83","44.58","196","0","Uncategorized,Horeca","","5","ADANA KEBAB (17*118 GR)","1","14.75","","",""
"252","Completed","2024-03-13 18:04","","De Rotonde Kebab","","","Slotermeerlaan 3","Amsterdam","","1064GX","","DeRotondeKebab@gmail.com","","","","","","","","","","0","0","495.25","","0","0","539.83","44.58","198","0","Uncategorized,Horeca","","6","AKCABAAT KOFTE (45*45gr)","3","15.95","","",""
"252","Completed","2024-03-13 18:04","","De Rotonde Kebab","","","Slotermeerlaan 3","Amsterdam","","1064GX","","DeRotondeKebab@gmail.com","","","","","","","","","","0","0","495.25","","0","0","539.83","44.58","218","0","Uncategorized,Horeca","","7","Excellence Patat","5","15.5","","",""
"252","Completed","2024-03-13 18:04","","De Rotonde Kebab","","","Slotermeerlaan 3","Amsterdam","","1064GX","","DeRotondeKebab@gmail.com","","","","","","","","","","0","0","495.25","","0","0","539.83","44.58","124","0","Uncategorized,Horeca","","8","Mix - SHAWARMA (%20 Lam-%80 kalkoen) (€6,50)","4","16.25","","",""
"252","Completed","2024-03-13 18:04","","De Rotonde Kebab","","","Slotermeerlaan 3","Amsterdam","","1064GX","","DeRotondeKebab@gmail.com","","","","","","","","","","0","0","495.25","","0","0","539.83","44.58","253","0","Uncategorized","5902082460084","9","Mexicano ( 12*140GR)","4","6","","",""
"252","Completed","2024-03-13 18:04","","De Rotonde Kebab","","","Slotermeerlaan 3","Amsterdam","","1064GX","","DeRotondeKebab@gmail.com","","","","","","","","","","0","0","495.25","","0","0","539.83","44.58","109","0","Uncategorized,Horeca","","10","CHICKEN TENDERS CLASSIC (FORMED)","8","7.5","","",""
"252","Completed","2024-03-13 18:04","","De Rotonde Kebab","","","Slotermeerlaan 3","Amsterdam","","1064GX","","DeRotondeKebab@gmail.com","","","","","","","","","","0","0","495.25","","0","0","539.83","44.58","103","0","Uncategorized,Horeca","","11","CRISPY BURGER","8","8.5","","",""
"255","Completed","2024-03-14 16:51","","Pizza","BellaDonna","","Lijnbaan 293","Zoetermeer","","2728AH","","PizzaBellaDonna@gmail.com","","","","","","","","","","0","0","151.85","","0","0","165.52","13.67","124","0","Uncategorized,Horeca","","1","Mix - SHAWARMA (%20 Lam-%80 kalkoen) (€6,50)","4","16.25","","",""
"255","Completed","2024-03-14 16:51","","Pizza","BellaDonna","","Lijnbaan 293","Zoetermeer","","2728AH","","PizzaBellaDonna@gmail.com","","","","","","","","","","0","0","151.85","","0","0","165.52","13.67","120","0","Uncategorized,Horeca","5902082461364","2","Kipfile geseneden NATURAL (€5,50)","4","13.75","","",""
"255","Completed","2024-03-14 16:51","","Pizza","BellaDonna","","Lijnbaan 293","Zoetermeer","","2728AH","","PizzaBellaDonna@gmail.com","","","","","","","","","","0","0","151.85","","0","0","165.52","13.67","116","0","Uncategorized,Horeca","","3","FALAFEL","1","5.6","","",""
"255","Completed","2024-03-14 16:51","","Pizza","BellaDonna","","Lijnbaan 293","Zoetermeer","","2728AH","","PizzaBellaDonna@gmail.com","","","","","","","","","","0","0","151.85","","0","0","165.52","13.67","95","0","Uncategorized,Horeca","","4","CHICKEN BURGER  ( 18x70 GR )","1","5.8","","",""
"255","Completed","2024-03-14 16:51","","Pizza","BellaDonna","","Lijnbaan 293","Zoetermeer","","2728AH","","PizzaBellaDonna@gmail.com","","","","","","","","","","0","0","151.85","","0","0","165.52","13.67","254","0","Uncategorized","5902082460077","5","Mexicano ( 6 * 140 GR )","1","3","","",""
"255","Completed","2024-03-14 16:51","","Pizza","BellaDonna","","Lijnbaan 293","Zoetermeer","","2728AH","","PizzaBellaDonna@gmail.com","","","","","","","","","","0","0","151.85","","0","0","165.52","13.67","100","0","Uncategorized,Horeca","","6","Chicken CRISPY WINGS","1","5.75","","",""
